Modelo,MAE,RMSE,MAPE,MAE_orig,RMSE_orig,MAPE_orig,AIC,BIC
ARIMA/SARIMAX,0.02362277562236681,0.03209974971751489,0.17715643958510824,14894.466782657159,20170.72020369077,2.409703972979137,-383.7959789239613,-369.7350571470992
SES,0.018192895627457812,0.021414645261024736,0.13627175012204662,11397.408465475688,13450.688143526568,1.814485618633612,-733.6237710983829,-727.7692637280685
Holt-Winters,0.02832390845774313,0.03575999461449725,0.2121392472274075,17617.33241283035,22135.170564957534,2.801892835673512,-736.3942821121834,-695.4127305199826
